1;MPI_Init;104130223974208;3726651559677255;3726673264224475;0;0;0;0;0;0;0
2;MPI_Init;108511437092672;3726651559650575;3726673264256275;0;0;0;0;0;0;0
3;MPI_Init;109963520116544;3726651560755835;3726673264206645;0;0;0;0;0;0;0
0;MPI_Init;108274703005504;1783101951991956000;1783101971281733000;0;0;0;0;0;0;0
2;MPI_Irecv;108511437698980;3726675079965624;3726675079978295;108512225396400;2;8;1;0x72373533a1e0;140721896313576;21
2;MPI_Irecv;108511437699069;3726675080004944;3726675080005224;108512225608976;2;8;3;0x72373533a1e0;140721896313560;23
2;MPI_Wait;108511437699127;3726675080009864;3726675080011884;140721896313568;1;0;-1;0x723735339de0;0;-1
2;MPI_Wait;108511437699140;3726675080012044;3726675080012075;140721896313552;1;0;-1;0x723735339de0;0;-1
3;MPI_Irecv;109963520724856;3726675110610374;3726675110620934;109963653875888;2;8;2;0x770a26d3a1e0;140731970518072;21
3;MPI_Wait;109963520724913;3726675110633514;3726675110635314;140731970518064;1;0;-1;0x770a26d39de0;0;-1
3;MPI_Wait;109963520724926;3726675110635414;3726675110643494;140731970518072;1;0;-1;0x770a26d39de0;0;-1
3;MPI_Irecv;109963520728652;3726675110679174;3726675110679383;140731970518144;2;4;2;0x770a26d3a1e0;140731970518072;13
1;MPI_Irecv;104130224580516;3726675508522539;3726675508536249;104130364012208;2;8;0;0x7bb746f3a1e0;140730127024952;21
2;MPI_Wait;108511437699156;3726675080012124;3726675508566039;140721896313576;1;0;-1;0x723735339de0;0;-1
1;MPI_Irecv;104130224580605;3726675508555609;3726675508555939;104130364224784;2;8;2;0x7bb746f3a1e0;140730127024936;23
2;MPI_Wait;108511437699169;3726675508566729;3726675508567009;140721896313560;1;0;-1;0x723735339de0;0;-1
1;MPI_Wait;104130224580663;3726675508561669;3726675508563689;140730127024944;1;0;-1;0x7bb746f39de0;0;-1
2;MPI_Irecv;108511437702805;3726675508598049;3726675508598749;140721896313712;2;4;1;0x72373533a1e0;140721896313576;13
1;MPI_Wait;104130224580676;3726675508563789;3726675508563839;140730127024928;1;0;-1;0x7bb746f39de0;0;-1
1;MPI_Wait;104130224580692;3726675508563999;3726702759391751;140730127024952;1;0;-1;0x7bb746f39de0;0;-1
1;MPI_Wait;104130224580705;3726702759393131;3726702759393761;140730127024936;1;0;-1;0x7bb746f39de0;0;-1
1;MPI_Irecv;104130224584341;3726702759440081;3726702759441831;140730127025088;2;4;0;0x7bb746f3a1e0;140730127024952;13
0;MPI_Irecv;108274703612967;1783102000407656000;1783102000440721000;108275261701168;2;8;1;0x7db9d733a1e0;140732681188080;23
0;MPI_Wait;108274703612980;1783102000454999000;1783102000464201000;140732681188088;1;0;-1;0x7db9d7339de0;0;-1
