time,addr,core,level,latency,prefetched,pid,command,mshr
625014185,126815966871996,0,L1,6,false,0,GetSResp,false
625014198,126815966872000,0,L1,6,false,0,GetSResp,false
625014201,126815966872004,0,L1,6,false,0,GetSResp,false
625014204,126815966872008,0,L1,6,false,0,GetSResp,false
625014209,126815966872012,0,L1,6,false,0,GetSResp,false
625014222,126815966872016,0,L1,6,false,0,GetSResp,false
625014225,126815966872020,0,L1,6,false,0,GetSResp,false
625014228,126815966872024,0,L1,6,false,0,GetSResp,false
625014233,126815966872028,0,L1,6,false,0,GetSResp,false
625014246,126815966872032,0,L1,6,false,0,GetSResp,false
625014249,126815966872036,0,L1,6,false,0,GetSResp,false
625014253,126815966872040,0,L1,6,false,0,GetSResp,false
625014257,126815966872044,0,L1,6,false,0,GetSResp,false
625014270,126815966872048,0,L1,6,false,0,GetSResp,false
625014273,126815966872052,0,L1,6,false,0,GetSResp,false
625014276,126815966872056,0,L1,6,false,0,GetSResp,false
625014280,126815966872060,0,L1,6,false,0,GetSResp,false
625014293,126815966872064,0,L1,6,false,0,GetSResp,false
625014296,126815966872068,0,L1,6,false,0,GetSResp,false
625014299,126815966872072,0,L1,6,false,0,GetSResp,false
625014303,126815966872076,0,L1,6,false,0,GetSResp,false
625014315,126815966872080,0,L1,6,false,0,GetSResp,false
625014318,126815966872084,0,L1,6,false,0,GetSResp,false
625014322,126815966872088,0,L1,6,false,0,GetSResp,false
625014326,126815966872092,0,L1,6,false,0,GetSResp,false
625014339,126815966872096,0,L1,6,false,0,GetSResp,false
625014342,126815966872100,0,L1,6,false,0,GetSResp,false
625014345,126815966872104,0,L1,6,false,0,GetSResp,false
625014349,126815966872108,0,L1,6,false,0,GetSResp,false
625014361,126815966872112,0,L1,6,false,0,GetSResp,false
625014365,126815966872116,0,L1,6,false,0,GetSResp,false
625014368,126815966872120,0,L1,6,false,0,GetSResp,false
625014372,126815966872124,0,L1,6,false,0,GetSResp,false
625014385,126815966872128,0,L1,6,false,0,GetSResp,false
625014388,126815966872132,0,L1,6,false,0,GetSResp,false
625014391,126815966872136,0,L1,6,false,0,GetSResp,false
625014395,126815966872140,0,L1,6,false,0,GetSResp,false
625014408,126815966872144,0,L1,6,false,0,GetSResp,false
625014411,126815966872148,0,L1,6,false,0,GetSResp,false
625014414,126815966872152,0,L1,6,false,0,GetSResp,false
625014419,126815966872156,0,L1,6,false,0,GetSResp,false
625014432,126815966872160,0,L1,6,false,0,GetSResp,false
625014435,126815966872164,0,L1,6,false,0,GetSResp,false
625014438,126815966872168,0,L1,6,false,0,GetSResp,false
625014443,126815966872172,0,L1,6,false,0,GetSResp,false
625014455,126815966872176,0,L1,6,false,0,GetSResp,false
625014458,126815966872180,0,L1,6,false,0,GetSResp,false
625014461,126815966872184,0,L1,6,false,0,GetSResp,false
625038465,126815966871572,0,L1,6,false,0,GetSResp,false
625038478,126815966872188,0,L1,6,false,0,GetSResp,false
625038491,126815966872192,0,L1,6,false,0,GetSResp,false
625038495,126815966872196,0,L1,6,false,0,GetSResp,false
625038498,126815966872200,0,L1,6,false,0,GetSResp,false
625038508,126815966871576,0,L1,6,false,0,GetSResp,false
625069002,126815967834128,0,L2,24,false,0,GetSResp,false
625093265,126815967834140,0,L1,6,false,0,GetSResp,false
625124892,126815967834144,0,L1,6,false,0,GetSResp,false
625124895,126815967834148,0,L1,6,false,0,GetSResp,false
625124898,126815967834152,0,L1,6,false,0,GetSResp,false
625124902,126815967834156,0,L1,6,false,0,GetSResp,false
625124917,126815967834160,0,L1,6,false,0,GetSResp,false
625124920,126815967834164,0,L1,6,false,0,GetSResp,false
625124923,126815967834168,0,L1,6,false,0,GetSResp,false
625124927,126815967834172,0,L1,6,false,0,GetSResp,false
625124943,126815967834176,0,L1,6,false,0,GetSResp,false
625124946,126815967834180,0,L1,6,false,0,GetSResp,false
625124949,126815967834184,0,L1,6,false,0,GetSResp,false
625124952,126815967834188,0,L1,6,false,0,GetSResp,false
625124968,126815967834192,0,L1,6,false,0,GetSResp,false
625124971,126815967834196,0,L1,6,false,0,GetSResp,false
625124975,126815967834200,0,L1,6,false,0,GetSResp,false
625124978,126815967834204,0,L1,6,false,0,GetSResp,false
625124993,126815967834208,0,L1,6,false,0,GetSResp,false
625124996,126815967834212,0,L1,6,false,0,GetSResp,false
625124999,126815967834216,0,L1,6,false,0,GetSResp,false
625125004,126815967834220,0,L1,6,false,0,GetSResp,false
625125019,126815967834224,0,L1,6,false,0,GetSResp,false
625125022,126815967834228,0,L1,6,false,0,GetSResp,false
625125026,126815967834232,0,L1,6,false,0,GetSResp,false
625125029,126815967834236,0,L1,6,false,0,GetSResp,false
625125045,126815967834240,0,L1,6,false,0,GetSResp,false
625125048,126815967834244,0,L1,6,false,0,GetSResp,false
625125051,126815967834248,0,L1,6,false,0,GetSResp,false
625125055,126815967834252,0,L1,6,false,0,GetSResp,false
625125071,126815967834256,0,L1,6,false,0,GetSResp,false
625125074,126815967834260,0,L1,6,false,0,GetSResp,false
625125076,126815967834264,0,L1,6,false,0,GetSResp,false
625125080,126815967834268,0,L1,6,false,0,GetSResp,false
625125095,126815967834272,0,L1,6,false,0,GetSResp,false
625125098,126815967834276,0,L1,6,false,0,GetSResp,false
625125101,126815967834280,0,L1,6,false,0,GetSResp,false
625125105,126815967834284,0,L1,6,false,0,GetSResp,false
625125121,126815967834288,0,L1,6,false,0,GetSResp,false
625125124,126815967834292,0,L1,6,false,0,GetSResp,false
625125127,126815967834296,0,L1,6,false,0,GetSResp,false
625125131,126815967834300,0,L1,6,false,0,GetSResp,false
625125146,126815967834304,0,L1,6,false,0,GetSResp,false
625125149,126815967834308,0,L1,6,false,0,GetSResp,false
625125152,126815967834312,0,L1,6,false,0,GetSResp,false
625125156,126815967834316,0,L1,6,false,0,GetSResp,false
625125172,126815967834320,0,L1,6,false,0,GetSResp,false
625125175,126815967834324,0,L1,6,false,0,GetSResp,false
625125178,126815967834328,0,L1,6,false,0,GetSResp,false
625125182,126815967834332,0,L1,6,false,0,GetSResp,false
625125199,126815967834336,0,L1,6,false,0,GetSResp,false
625125202,126815967834340,0,L1,6,false,0,GetSResp,false
625125205,126815967834344,0,L1,6,false,0,GetSResp,false
625125209,126815967834348,0,L1,6,false,0,GetSResp,false
625125224,126815967834352,0,L1,6,false,0,GetSResp,false
625125227,126815967834356,0,L1,6,false,0,GetSResp,false
625125231,126815967834360,0,L1,6,false,0,GetSResp,false
625125234,126815967834364,0,L1,6,false,0,GetSResp,false
625125249,126815967834368,0,L1,6,false,0,GetSResp,false
625125252,126815967834372,0,L1,6,false,0,GetSResp,false
625125255,126815967834376,0,L1,6,false,0,GetSResp,false
625125259,126815967834380,0,L1,6,false,0,GetSResp,false
625125273,126815967834384,0,L1,6,false,0,GetSResp,false
625125276,126815967834388,0,L1,6,false,0,GetSResp,false
625125280,126815967834392,0,L1,6,false,0,GetSResp,false
625125283,126815967834396,0,L1,6,false,0,GetSResp,false
625125299,126815967834400,0,L1,6,false,0,GetSResp,false
625125302,126815967834404,0,L1,6,false,0,GetSResp,false
625125305,126815967834408,0,L1,6,false,0,GetSResp,false
625125309,126815967834412,0,L1,6,false,0,GetSResp,false
625125325,126815967834416,0,L1,6,false,0,GetSResp,false
625125328,126815967834420,0,L1,6,false,0,GetSResp,false
625125331,126815967834424,0,L1,6,false,0,GetSResp,false
625125335,126815967834428,0,L1,6,false,0,GetSResp,false
625125350,126815967834432,0,L1,6,false,0,GetSResp,false
625125353,126815967834436,0,L1,6,false,0,GetSResp,false
625125356,126815967834440,0,L1,6,false,0,GetSResp,false
625125360,126815967834444,0,L1,6,false,0,GetSResp,false
625125375,126815967834448,0,L1,6,false,0,GetSResp,false
625125378,126815967834452,0,L1,6,false,0,GetSResp,false
625125381,126815967834456,0,L1,6,false,0,GetSResp,false
625125385,126815967834460,0,L1,6,false,0,GetSResp,false
625125400,126815967834464,0,L1,6,false,0,GetSResp,false
625125403,126815967834468,0,L1,6,false,0,GetSResp,false
625125406,126815967834472,0,L1,6,false,0,GetSResp,false
625125409,126815967834476,0,L1,6,false,0,GetSResp,false
625125425,126815967834480,0,L1,6,false,0,GetSResp,false
625125428,126815967834484,0,L1,6,false,0,GetSResp,false
625125431,126815967834488,0,L1,6,false,0,GetSResp,false
625125435,126815967834492,0,L1,6,false,0,GetSResp,false
625125450,126815967834496,0,L1,6,false,0,GetSResp,false
625125453,126815967834500,0,L1,6,false,0,GetSResp,false
625125456,126815967834504,0,L1,6,false,0,GetSResp,false
625125460,126815967834508,0,L1,6,false,0,GetSResp,false
625125475,126815967834512,0,L1,6,false,0,GetSResp,false
625125478,126815967834516,0,L1,6,false,0,GetSResp,false
625125481,126815967834520,0,L1,6,false,0,GetSResp,false
